,Unnamed: 0,J,2,3,4,5,6,7,8,9,10,11,12,popup,lat,lon
41,41,1.87947494033413,23.8,21.2,43.4,105.6,207.2,378.6,388.8,292.8,174.9,33.9,4.9,ブバネシュワル - インド ,20.25,85.83
42,42,0.119331742243437,0.1,7.1,7.1,19.5,189.3,178.6,153.2,139.0,104.8,29.3,5.1,プネー - インド ,18.53,73.85
43,43,0.0596658711217184,0.3,0.4,0.3,1.6,141.1,348.2,171.1,111.8,16.7,5.4,0.5,ベラーバル - インド ,20.9,70.37
44,44,0.134248210023866,1.4,15.8,42.0,72.2,170.4,235.2,188.1,128.2,114.5,31.5,4.2,ベルガウム - インド ,15.85,74.62
45,45,6.9063245823389,15.3,27.8,79.8,408.3,483.2,440.0,444.3,509.2,311.5,218.5,112.8,ポートブレア - インド ,11.67,92.72
46,46,0.9844868735083531,13.4,6.4,8.1,48.1,121.5,188.3,174.0,187.9,247.2,118.5,18.8,マチリパトナム - インド ,16.2,81.15
47,47,5.17601431980907,21.1,43.3,53.4,164.8,289.1,259.2,205.0,162.6,172.8,146.0,94.3,ミニコイ島 - インド ,8.3,73.15
48,48,0.0894988066825776,1.0,1.3,0.8,6.0,516.5,790.5,483.3,352.8,86.3,8.8,2.8,ムンバイ - インド ,18.9,72.82
49,49,1.92422434367542,19.7,27.4,20.7,12.0,5.6,0.8,1.6,1.9,6.8,10.5,15.4,ウルゲンチ - ウズベキスタン ,41.57,60.63
50,50,5.80250596658711,46.8,68.6,64.1,32.1,6.5,1.1,1.9,2.5,17.1,43.8,37.6,サマルカンド - ウズベキスタン ,39.63,66.95
51,51,8.41288782816229,70.4,70.5,60.5,35.5,15.9,3.5,2.2,4.0,26.4,55.3,54.1,タシケント - ウズベキスタン ,41.33,69.3
52,52,2.0286396181384303,15.9,17.8,19.8,20.4,8.1,1.9,2.6,2.3,7.8,15.1,9.2,チンバイ - ウズベキスタン ,42.95,59.8
53,53,3.75894988066826,28.9,26.1,23.9,7.5,1.0,0.0,0.0,0.1,2.6,23.7,19.7,テルメズ - ウズベキスタン ,37.28,67.32
54,54,2.38663484486874,25.3,30.6,23.7,23.6,11.1,4.1,3.7,4.0,16.9,21.9,25.6,ナマンガン - ウズベキスタン ,41.0,71.58
55,55,2.56563245823389,24.3,27.0,21.8,23.3,16.3,4.2,4.1,3.1,14.8,19.3,23.1,フェルガナ - ウズベキスタン ,40.38,71.75
56,56,0.7309069212410501,2.5,23.3,15.0,13.7,12.4,6.7,26.8,6.8,3.9,0.8,3.8,アダム - オマーン ,22.5,57.37
57,57,0.402744630071599,9.6,21.7,13.0,13.2,18.5,17.7,11.4,14.4,12.9,13.0,13.9,イブラー - オマーン ,22.74,58.51
58,58,0.29832935560859203,7.1,2.8,15.4,12.3,2.8,9.4,7.8,2.4,2.1,8.5,1.8,イブリー - オマーン ,23.23,56.43
59,59,0.0894988066825776,0.3,4.9,4.3,16.8,2.1,20.7,18.9,3.3,2.9,0.4,0.4,サラーラ - オマーン ,17.04,54.1
60,60,2.08830548926014,11.3,7.9,7.4,1.4,0.0,0.1,0.1,0.1,0.5,7.9,12.1,シーブ国際空港 - オマーン ,23.59,58.3
61,61,1.50656324582339,5.4,12.4,8.9,4.5,14.9,16.3,0.9,0.0,3.6,10.4,10.5,スール - オマーン ,22.54,59.48
62,62,0.0447494033412888,0.2,4.2,6.1,4.4,2.0,0.1,0.0,0.5,2.1,0.4,0.4,タマリート - オマーン ,17.68,54.02
63,63,0.313245823389022,12.9,2.7,11.8,7.6,17.3,10.6,16.4,6.8,3.5,6.2,3.2,ニズワ - オマーン ,22.86,57.55
64,64,5.56384248210024,21.8,20.7,12.7,0.5,0.2,0.1,0.4,0.6,7.1,21.2,31.8,ハサブ空港 - オマーン ,26.16,56.24
65,65,0.34307875894988105,4.1,19.6,14.3,8.6,8.1,9.3,19.2,6.9,8.2,14.2,3.6,バフラ - オマーン ,22.99,57.32
66,66,0.17899761336515502,3.9,5.7,5.4,0.2,11.8,1.0,0.1,0.0,1.7,4.5,3.6,マシーラ島 - オマーン ,20.67,58.89
67,67,3.6694510739856803,23.2,26.7,25.6,28.9,30.4,26.8,19.8,19.3,29.0,24.9,29.4,アクテベ - カザフスタン ,50.28,57.15
68,68,2.72971360381862,16.5,19.2,22.1,33.8,41.1,53.8,29.4,20.9,26.6,27.3,24.6,アスタナ - カザフスタン ,51.13,71.37
69,69,2.44630071599045,10.2,15.9,13.6,23.8,15.1,12.5,9.7,8.8,18.4,13.7,17.7,アティラウ - カザフスタン ,47.12,51.92
70,70,2.81921241050119,16.1,18.5,18.5,28.4,40.3,49.0,29.7,19.7,27.5,20.0,24.1,アトバサル - カザフスタン ,51.82,68.37
71,71,1.74522673031026,10.1,17.2,15.1,12.8,8.8,7.4,6.1,3.7,12.0,13.8,13.3,アラル海 - カザフスタン ,46.78,61.65
72,72,5.25059665871122,42.7,71.9,108.8,98.8,59.8,42.2,33.4,27.7,49.8,55.3,44.9,アルマトイ - カザフスタン ,43.23,76.93
73,73,1.6557279236276898,12.2,12.7,17.6,25.0,37.4,47.2,37.0,20.3,25.4,18.3,16.8,イルティシスク - カザフスタン ,53.35,75.45
74,74,3.5650357995226702,21.8,27.9,28.3,36.9,40.1,52.3,27.0,18.7,29.3,30.1,31.1,カラガンダ - カザフスタン ,49.8,73.15
75,75,2.38663484486874,12.5,15.4,20.1,14.2,7.8,5.4,1.8,2.9,10.3,11.6,17.0,クジルオルダ - カザフスタン ,44.85,65.5
76,76,4.281026252983289,16.9,16.2,18.5,22.8,32.0,37.1,19.0,13.1,21.9,32.9,36.7,コクペクティ - カザフスタン ,48.75,82.37
77,77,2.53579952267303,17.7,23.3,25.7,37.3,34.9,54.2,39.9,28.9,34.0,24.3,22.1,コスタナイ - カザフスタン ,53.22,63.62
78,78,1.68556085918854,11.4,13.2,19.7,25.6,44.8,70.9,44.3,23.1,24.8,19.3,14.2,コッシェタウ - カザフスタン ,53.28,69.38
79,79,12.291169451074,93.1,78.7,77.4,48.2,21.7,5.4,3.7,7.5,40.1,75.1,77.3,シムケント - カザフスタン ,42.32,69.7
80,80,1.78997613365155,14.6,15.6,18.5,20.0,19.1,13.1,11.9,6.2,14.0,20.8,14.8,ジェズカズガン - カザフスタン ,47.8,67.72
81,81,5.22076372315036,37.1,40.8,46.2,34.7,27.8,13.4,7.6,9.4,32.3,35.4,33.9,ジャンビル - カザフスタン ,42.85,71.38
82,82,2.13305489260143,15.2,20.1,88.9,26.4,20.1,30.6,9.3,22.0,27.3,23.1,16.6,ジャンベイトゥイ - カザフスタン ,50.25,52.57
83,83,2.38663484486874,17.8,20.4,16.9,27.2,33.8,50.5,27.0,16.8,22.4,27.8,25.1,セメイ（セミパラチンスク） - カザフスタン ,50.42,80.3
84,84,2.83412887828162,14.2,16.3,16.8,12.5,5.8,3.4,4.4,2.3,9.8,15.1,14.1,チーリ - カザフスタン ,44.17,66.75
85,85,3.4606205250596695,20.8,27.2,23.6,33.4,16.1,23.5,12.1,12.1,21.9,20.0,27.3,テミル - カザフスタン ,49.15,57.12
86,86,3.8633651551312598,27.0,32.1,23.3,20.8,8.1,2.6,1.3,1.6,11.5,24.0,26.1,トゥルケスタン - カザフスタン ,43.27,68.22
87,87,1.99880668257757,11.5,14.2,10.8,13.1,12.6,14.3,6.2,3.7,9.7,17.2,11.7,バルハシ - カザフスタン ,46.8,75.08
88,88,2.43138424821002,12.6,18.2,15.6,20.6,41.5,57.9,36.4,21.0,21.5,24.7,23.2,パブロダール - カザフスタン ,52.3,76.93
89,89,0.715990453460621,5.7,4.4,13.2,7.1,5.3,8.2,1.2,9.2,7.5,13.2,9.8,フォルトシェフチェンコ - カザフスタン ,44.55,50.25
90,90,2.9236276849642002,18.1,23.4,30.8,46.9,35.6,62.2,35.9,23.8,30.1,28.7,23.6,ルザエフカ - カザフスタン ,52.82,66.97
91,91,2.81921241050119,21.0,37.1,58.8,74.0,73.9,81.6,52.8,45.3,64.8,49.2,32.0,レニノゴルスク - カザフスタン ,50.33,83.55
92,92,2.23747016706444,4.6,31.8,92.8,128.4,166.3,171.3,181.4,266.2,260.2,103.5,33.5,プノンペン - カンボジア ,11.6,104.87
93,93,2.38663484486874,22.0,40.1,61.5,49.8,32.7,17.5,10.9,12.2,23.7,29.2,19.8,タラス - キルギス ,42.52,72.22
94,94,0.805489260143198,10.9,13.3,33.3,50.4,60.4,47.9,53.5,34.0,22.5,12.1,9.3,ティエンシャン山脈 - キルギス ,41.88,78.23
95,95,1.35739856801909,12.8,23.2,34.7,52.8,56.5,40.1,28.5,13.4,19.5,18.8,13.4,ナルイン - キルギス ,41.43,76.0
96,96,4.2064439140811505,38.0,52.5,77.4,64.5,37.9,19.2,14.2,19.4,38.4,46.0,37.9,ビシュケク - キルギス ,42.85,74.53
97,97,1.9391408114558502,6.3,38.6,36.5,37.6,10.8,25.4,25.7,8.0,4.7,7.3,2.0,アブハー - サウジアラビア ,18.23,42.65
98,98,2.34188544152745,12.8,22.9,16.4,3.7,0.1,0.0,0.0,0.0,6.8,31.0,27.5,アルカイスーマ - サウジアラビア ,28.32,46.13
99,99,2.10322195704057,2.1,4.1,0.5,0.2,0.1,0.5,0.8,0.1,1.4,21.4,8.9,ジッダ - サウジアラビア ,21.7,39.18
100,100,2.013723150358,8.3,6.3,2.9,1.4,0.1,0.0,0.1,0.6,4.5,6.7,9.5,ジャウフ - サウジアラビア ,29.78,40.1
101,101,2.31205250596659,4.9,4.4,11.5,12.0,2.1,17.1,46.7,7.4,11.9,17.7,17.0,ジーザーン - サウジアラビア ,16.88,42.58
102,102,1.5662291169451101,2.6,4.1,1.8,2.0,0.0,0.0,0.1,0.1,3.2,4.3,3.7,タブーク - サウジアラビア ,28.38,36.6
103,103,0.29832935560859203,0.3,6.4,23.9,3.8,0.0,0.1,0.2,0.4,1.5,1.4,6.9,ダワーシルワジ - サウジアラビア ,20.5,45.25
104,104,2.56563245823389,20.7,19.5,24.5,3.0,0.1,0.0,0.0,0.0,0.5,28.4,18.8,ダンマム - サウジアラビア ,26.45,49.82
105,105,3.0280429594272102,10.7,22.2,6.3,0.9,0.0,0.0,0.0,0.0,0.3,20.7,17.0,ダーラン - サウジアラビア ,26.27,50.17
106,106,2.43138424821002,12.6,11.2,6.8,4.0,0.1,0.0,0.0,0.3,8.7,10.0,11.1,トゥライフ - サウジアラビア ,31.68,38.73
107,107,0.17899761336515502,0.7,19.5,17.9,10.4,0.5,3.9,10.2,0.2,2.2,2.1,0.6,ナジュラーン - サウジアラビア ,17.62,44.42
108,108,2.61038186157518,10.2,15.5,27.1,1.8,0.0,0.0,0.1,0.0,3.4,23.9,22.1,ハファルアルバーティン - サウジアラビア ,27.92,45.52
109,109,0.5966587112171841,2.9,18.7,35.4,33.3,8.9,21.5,28.4,3.6,4.9,5.8,1.0,ハミースムシャイト - サウジアラビア ,18.3,42.8
110,110,2.69988066825776,2.9,4.2,9.9,0.7,0.3,1.7,5.6,7.6,11.7,26.1,13.8,メッカ - サウジアラビア ,21.43,39.77
111,111,0.909904534606205,1.4,6.0,7.4,5.3,0.3,1.4,3.4,0.8,4.3,12.4,6.5,メディナ - サウジアラビア ,24.55,39.7
112,112,3.3562052505966595,9.5,14.5,13.5,4.7,0.1,0.0,0.0,0.0,4.2,22.3,9.9,ラフハー - サウジアラビア ,29.62,43.48
113,113,2.25238663484487,8.1,24.2,36.1,6.5,0.0,0.1,0.4,0.0,0.9,15.1,20.8,リヤド - サウジアラビア ,24.7,46.73
